--- STDOUT ---
[2025-05-17 19:00:42.145080] [0x00001e08] [trace]   Generating perimeters for layer 91
[2025-05-17 19:00:42.146078] [0x00001e08] [trace]   Generating perimeters for layer 91, region 0
[2025-05-17 19:00:42.159043] [0x00001768] [trace]   Generating perimeters for layer 32 - Done
[2025-05-17 19:00:42.160040] [0x00001768] [trace]   Generating perimeters for layer 33
[2025-05-17 19:00:42.160040] [0x00001768] [trace]   Generating perimeters for layer 33, region 0
[2025-05-17 19:00:42.164030] [0x00001e3c] [trace]   Generating perimeters for layer 5 - Done
[2025-05-17 19:00:42.164030] [0x00001e3c] [trace]   Generating perimeters for layer 6
[2025-05-17 19:00:42.164030] [0x00001e3c] [trace]   Generating perimeters for layer 6, region 0
[2025-05-17 19:00:42.170014] [0x00001e3c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:42.170014] [0x00001e3c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:42.170014] [0x00001e3c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:42.173005] [0x00000200] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:42.173005] [0x00000200] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:42.173005] [0x00000200] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:42.187966] [0x00001e08] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:42.188963] [0x00001e08] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:42.188963] [0x00001e08] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:42.201928] [0x00001768] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:42.201928] [0x00001768] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:42.201928] [0x00001768] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:42.301661] [0x00001e3c] [trace]   Generating perimeters for layer 6 - Done
[2025-05-17 19:00:42.301661] [0x00001e3c] [trace]   Generating perimeters for layer 7
[2025-05-17 19:00:42.301661] [0x00001e3c] [trace]   Generating perimeters for layer 7, region 0
[2025-05-17 19:00:42.306649] [0x00001e3c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:42.306649] [0x00001e3c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:42.306649] [0x00001e3c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:42.314627] [0x00000200] [trace]   Generating perimeters for layer 62 - Done
[2025-05-17 19:00:42.314627] [0x00000200] [trace]   Generating perimeters for layer 63
[2025-05-17 19:00:42.314627] [0x00000200] [trace]   Generating perimeters for layer 63, region 0
[2025-05-17 19:00:42.325598] [0x00000200] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:42.325598] [0x00000200] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:42.325598] [0x00000200] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:42.340558] [0x00001e08] [trace]   Generating perimeters for layer 91 - Done
[2025-05-17 19:00:42.340558] [0x00001e08] [trace]   Generating perimeters for layer 92
[2025-05-17 19:00:42.340558] [0x00001e08] [trace]   Generating perimeters for layer 92, region 0
[2025-05-17 19:00:42.342552] [0x00001768] [trace]   Generating perimeters for layer 33 - Done
[2025-05-17 19:00:42.342552] [0x00001768] [trace]   Generating perimeters for layer 34
[2025-05-17 19:00:42.342552] [0x00001768] [trace]   Generating perimeters for layer 34, region 0
[2025-05-17 19:00:42.351546] [0x00001768] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:42.351546] [0x00001768] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:42.351546] [0x00001768] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:42.352544] [0x00001e08] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:42.352544] [0x00001e08] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:42.352544] [0x00001e08] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:42.439311] [0x00001e3c] [trace]   Generating perimeters for layer 7 - Done
[2025-05-17 19:00:42.439311] [0x00001e3c] [trace]   Generating perimeters for layer 8
[2025-05-17 19:00:42.439311] [0x00001e3c] [trace]   Generating perimeters for layer 8, region 0
[2025-05-17 19:00:42.444298] [0x00001e3c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:42.444298] [0x00001e3c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:42.444298] [0x00001e3c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:42.461252] [0x00000200] [trace]   Generating perimeters for layer 63 - Done
[2025-05-17 19:00:42.461252] [0x00000200] [trace]   Generating perimeters for layer 64
[2025-05-17 19:00:42.461252] [0x00000200] [trace]   Generating perimeters for layer 64, region 0
[2025-05-17 19:00:42.475726] [0x00000200] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:42.475726] [0x00000200] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:42.475726] [0x00000200] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
