--- STDOUT ---
[2025-05-22 13:23:08.128155] [0x00000fcc] [trace]   Generating perimeters for layer 91 - Done
[2025-05-22 13:23:08.128155] [0x00000fcc] [trace]   Generating perimeters for layer 92
[2025-05-22 13:23:08.128155] [0x00000fcc] [trace]   Generating perimeters for layer 92, region 0
[2025-05-22 13:23:08.128155] [0x00002700] [trace]   Generating perimeters for layer 156 - Done
[2025-05-22 13:23:08.128155] [0x00002700] [trace]   Generating perimeters for layer 157
[2025-05-22 13:23:08.128155] [0x00002700] [trace]   Generating perimeters for layer 157, region 0
[2025-05-22 13:23:08.128155] [0x00000440] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.128155] [0x00000440] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.128155] [0x00000440] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.128155] [0x00002700] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.128155] [0x00000fcc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.128155] [0x00002700] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.128155] [0x00002700] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.128155] [0x00000fcc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.128155] [0x00000fcc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.129152] [0x00000440] [trace]   Generating perimeters for layer 134 - Done
[2025-05-22 13:23:08.129152] [0x00000440] [trace]   Generating perimeters for layer 135
[2025-05-22 13:23:08.129152] [0x00000440] [trace]   Generating perimeters for layer 135, region 0
[2025-05-22 13:23:08.129152] [0x00002700] [trace]   Generating perimeters for layer 157 - Done
[2025-05-22 13:23:08.129152] [0x00002700] [trace]   Generating perimeters for layer 158
[2025-05-22 13:23:08.129152] [0x00002700] [trace]   Generating perimeters for layer 158, region 0
[2025-05-22 13:23:08.129152] [0x00000fcc] [trace]   Generating perimeters for layer 92 - Done
[2025-05-22 13:23:08.129152] [0x00000fcc] [trace]   Generating perimeters for layer 93
[2025-05-22 13:23:08.129152] [0x00000fcc] [trace]   Generating perimeters for layer 93, region 0
[2025-05-22 13:23:08.129152] [0x00000440] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.129152] [0x00000440] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.129152] [0x00000440] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.129152] [0x00002700] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.129152] [0x00002700] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.129152] [0x00002700] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.129152] [0x00000fcc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.129152] [0x00000fcc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.129152] [0x00000fcc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
