--- STDOUT ---
[2025-05-17 19:22:09.765730] [0x0000255c] [trace]   Generating perimeters for layer 95, region 0
[2025-05-17 19:22:09.765730] [0x0000255c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.765730] [0x0000255c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.765730] [0x0000255c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.765730] [0x0000255c] [trace]   Generating perimeters for layer 95 - Done
[2025-05-17 19:22:09.765730] [0x0000255c] [trace]   Generating perimeters for layer 96
[2025-05-17 19:22:09.765730] [0x0000255c] [trace]   Generating perimeters for layer 96, region 0
[2025-05-17 19:22:09.765730] [0x0000255c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.765730] [0x0000255c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.765730] [0x0000255c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.766725] [0x0000255c] [trace]   Generating perimeters for layer 96 - Done
[2025-05-17 19:22:09.766725] [0x0000255c] [trace]   Generating perimeters for layer 97
[2025-05-17 19:22:09.766725] [0x0000255c] [trace]   Generating perimeters for layer 97, region 0
[2025-05-17 19:22:09.766725] [0x00002b64] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-17 19:22:09.766725] [0x00002b64] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.766725] [0x00002b64] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.766725] [0x0000255c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.766725] [0x0000255c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.766725] [0x0000255c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.766725] [0x0000255c] [trace]   Generating perimeters for layer 97 - Done
[2025-05-17 19:22:09.766725] [0x0000255c] [trace]   Generating perimeters for layer 98
[2025-05-17 19:22:09.766725] [0x0000255c] [trace]   Generating perimeters for layer 98, region 0
[2025-05-17 19:22:09.766725] [0x0000255c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.766725] [0x0000255c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.766725] [0x0000255c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.766725] [0x00002b64] [trace]   Generating perimeters for layer 0 - Done
[2025-05-17 19:22:09.766725] [0x00002b64] [trace]   Generating perimeters for layer 1
[2025-05-17 19:22:09.766725] [0x00002b64] [trace]   Generating perimeters for layer 1, region 0
[2025-05-17 19:22:09.767722] [0x00002b64] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.767722] [0x00002b64] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.767722] [0x00002b64] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.767722] [0x00002298] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.767722] [0x00002298] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.767722] [0x00002298] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.767722] [0x00000598] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.767722] [0x00000598] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.767722] [0x00000598] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.768720] [0x00000598] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.768720] [0x00000598] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.768720] [0x00000598] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.768720] [0x00000598] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.768720] [0x00000598] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.768720] [0x00000598] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.768720] [0x0000255c] [trace]   Generating perimeters for layer 98 - Done
[2025-05-17 19:22:09.768720] [0x0000255c] [trace]   Generating perimeters for layer 99
[2025-05-17 19:22:09.768720] [0x0000255c] [trace]   Generating perimeters for layer 99, region 0
[2025-05-17 19:22:09.768720] [0x0000255c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.768720] [0x0000255c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.768720] [0x0000255c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.771712] [0x0000255c] [trace]   Generating perimeters for layer 99 - Done
[2025-05-17 19:22:09.771712] [0x0000255c] [trace]   Generating perimeters for layer 100
[2025-05-17 19:22:09.771712] [0x0000255c] [trace]   Generating perimeters for layer 100, region 0
[2025-05-17 19:22:09.771712] [0x00002298] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.771712] [0x00002298] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.771712] [0x00002298] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.771712] [0x0000255c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.771712] [0x0000255c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.771712] [0x0000255c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:22:09.771712] [0x00002b64] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:22:09.771712] [0x00002b64] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:22:09.771712] [0x00002b64] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
