--- STDOUT ---
[2025-05-26 09:59:48.339349] [0x00002a44] [trace]   Generating perimeters for layer 154 - Done
[2025-05-26 09:59:48.339349] [0x00002a44] [trace]   Generating perimeters for layer 155
[2025-05-26 09:59:48.339349] [0x00002a44] [trace]   Generating perimeters for layer 155, region 0
[2025-05-26 09:59:48.339349] [0x000029bc] [trace]   Generating perimeters for layer 90 - Done
[2025-05-26 09:59:48.339349] [0x000029bc] [trace]   Generating perimeters for layer 91
[2025-05-26 09:59:48.339349] [0x000029bc] [trace]   Generating perimeters for layer 91, region 0
[2025-05-26 09:59:48.339349] [0x00001300] [trace]   Generating perimeters for layer 132 - Done
[2025-05-26 09:59:48.340346] [0x00001300] [trace]   Generating perimeters for layer 133
[2025-05-26 09:59:48.340346] [0x00001300] [trace]   Generating perimeters for layer 133, region 0
[2025-05-26 09:59:48.340346] [0x00002a44] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.340346] [0x00002a44] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.340346] [0x00002a44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.340346] [0x000029bc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.340346] [0x000029bc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.340346] [0x000029bc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.340346] [0x00001300] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.340346] [0x00001300] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.340346] [0x00001300] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.340346] [0x00002a44] [trace]   Generating perimeters for layer 155 - Done
[2025-05-26 09:59:48.340346] [0x00002a44] [trace]   Generating perimeters for layer 156
