--- STDOUT ---
[2025-05-26 14:01:08.202773] [0x000033d4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:01:08.216069] [0x00001fa8] [trace]   Generating perimeters for layer 368 - Done
[2025-05-26 14:01:08.216069] [0x00001fa8] [trace]   Generating perimeters for layer 369
[2025-05-26 14:01:08.216069] [0x00001fa8] [trace]   Generating perimeters for layer 369, region 0
[2025-05-26 14:01:08.216069] [0x00001fa8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:01:08.216069] [0x00001fa8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:01:08.216069] [0x00001fa8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:01:08.229406] [0x00000d60] [trace]   Generating perimeters for layer 206 - Done
[2025-05-26 14:01:08.229406] [0x00000d60] [trace]   Generating perimeters for layer 207
[2025-05-26 14:01:08.229406] [0x00000d60] [trace]   Generating perimeters for layer 207, region 0
[2025-05-26 14:01:08.229406] [0x00002cfc] [trace]   Generating perimeters for layer 309 - Done
[2025-05-26 14:01:08.229406] [0x00002cfc] [trace]   Generating perimeters for layer 310
[2025-05-26 14:01:08.229406] [0x00002cfc] [trace]   Generating perimeters for layer 310, region 0
[2025-05-26 14:01:08.229406] [0x00001fa8] [trace]   Generating perimeters for layer 369 - Done
[2025-05-26 14:01:08.229406] [0x00001fa8] [trace]   Generating perimeters for layer 370
[2025-05-26 14:01:08.229406] [0x00001fa8] [trace]   Generating perimeters for layer 370, region 0
[2025-05-26 14:01:08.229406] [0x00001fa8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:01:08.229406] [0x00001fa8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:01:08.229406] [0x00001fa8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:01:08.242753] [0x00000d60] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:01:08.242753] [0x00000d60] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:01:08.242753] [0x00000d60] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:01:08.242753] [0x00002cfc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:01:08.242753] [0x00002cfc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
