--- STDOUT ---
[2025-05-26 14:23:16.113614] [0x000019c8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.122553] [0x000028c4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.122553] [0x000028c4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.122553] [0x000028c4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.137568] [0x00002484] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.137568] [0x00002484] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.137568] [0x00002484] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.139629] [0x000019c8] [trace]   Generating perimeters for layer 206 - Done
[2025-05-26 14:23:16.139629] [0x000019c8] [trace]   Generating perimeters for layer 207
[2025-05-26 14:23:16.139629] [0x000019c8] [trace]   Generating perimeters for layer 207, region 0
[2025-05-26 14:23:16.151606] [0x00001944] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-26 14:23:16.151606] [0x00001944] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.151606] [0x00001944] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.154604] [0x000019c8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.154604] [0x000019c8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.154604] [0x000019c8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.156624] [0x000028c4] [trace]   Generating perimeters for layer 103 - Done
[2025-05-26 14:23:16.156624] [0x000028c4] [trace]   Generating perimeters for layer 104
[2025-05-26 14:23:16.156624] [0x000028c4] [trace]   Generating perimeters for layer 104, region 0
[2025-05-26 14:23:16.168592] [0x000028c4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.168592] [0x000028c4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.168592] [0x000028c4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.181625] [0x00002484] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.181625] [0x00002484] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.181625] [0x00002484] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.188132] [0x00001944] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-26 14:23:16.188132] [0x00001944] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.188132] [0x00001944] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.190127] [0x000019c8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.190127] [0x000019c8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.190127] [0x000019c8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.194116] [0x00001944] [trace]   Generating perimeters for layer 0 - Done
[2025-05-26 14:23:16.194116] [0x00001944] [trace]   Generating perimeters for layer 1
[2025-05-26 14:23:16.194116] [0x00001944] [trace]   Generating perimeters for layer 1, region 0
[2025-05-26 14:23:16.205146] [0x00001944] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.205146] [0x00001944] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.205146] [0x00001944] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.206144] [0x000028c4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.206144] [0x000028c4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.206144] [0x000028c4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.215590] [0x00002484] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.215590] [0x00002484] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.215590] [0x00002484] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.229588] [0x000019c8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.229588] [0x000019c8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.229588] [0x000019c8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.244657] [0x00002484] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.244657] [0x000028c4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.244657] [0x00002484] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.244657] [0x000028c4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.245654] [0x00002484] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.245654] [0x000028c4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.245654] [0x00001944] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.245654] [0x00001944] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.245654] [0x00001944] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.261756] [0x00002484] [trace]   Generating perimeters for layer 51 - Done
[2025-05-26 14:23:16.261756] [0x00002484] [trace]   Generating perimeters for layer 52
[2025-05-26 14:23:16.261756] [0x00002484] [trace]   Generating perimeters for layer 52, region 0
[2025-05-26 14:23:16.267029] [0x000019c8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.267029] [0x000019c8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.267029] [0x000019c8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.276313] [0x000028c4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.276313] [0x000028c4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.276313] [0x000028c4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.281300] [0x00002484] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.281300] [0x00002484] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.281300] [0x00002484] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.284292] [0x00001944] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.284292] [0x00001944] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.284292] [0x00001944] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.298086] [0x000019c8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.298086] [0x000019c8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.298086] [0x000019c8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.303072] [0x000028c4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.303072] [0x000028c4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.303072] [0x000028c4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.315915] [0x00001944] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.315915] [0x00001944] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.315915] [0x00001944] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.319421] [0x000019c8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.319421] [0x000019c8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.319421] [0x000019c8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.319421] [0x000028c4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.319421] [0x000028c4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.319421] [0x000028c4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.349859] [0x000028c4] [trace]   Generating perimeters for layer 104 - Done
[2025-05-26 14:23:16.349859] [0x000028c4] [trace]   Generating perimeters for layer 105
[2025-05-26 14:23:16.349859] [0x000028c4] [trace]   Generating perimeters for layer 105, region 0
[2025-05-26 14:23:16.354844] [0x00002484] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.354844] [0x00002484] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.354844] [0x00002484] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.355855] [0x000019c8] [trace]   Generating perimeters for layer 207 - Done
[2025-05-26 14:23:16.355855] [0x000019c8] [trace]   Generating perimeters for layer 208
[2025-05-26 14:23:16.355855] [0x000019c8] [trace]   Generating perimeters for layer 208, region 0
[2025-05-26 14:23:16.357849] [0x00001944] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.357849] [0x00001944] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.357849] [0x00001944] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.358847] [0x000028c4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.358847] [0x000028c4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.358847] [0x000028c4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.365828] [0x000019c8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.365828] [0x000019c8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.365828] [0x000019c8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.371673] [0x00002484] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.371673] [0x00002484] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.371673] [0x00002484] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.387298] [0x00001944] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.387298] [0x00001944] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.387298] [0x00001944] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.387298] [0x000028c4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.387298] [0x000028c4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:23:16.387298] [0x000028c4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:23:16.393312] [0x000019c8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:23:16.393312] [0x000019c8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
