--- STDOUT ---
[2025-05-17 19:10:37.150316] [0x0000239c] [trace]   Generating perimeters for layer 207, region 0
[2025-05-17 19:10:37.162284] [0x0000239c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:37.162284] [0x0000239c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:37.162284] [0x0000239c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:37.164790] [0x00001e60] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-17 19:10:37.164790] [0x00001e60] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:37.164790] [0x00001e60] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:37.165787] [0x00001da0] [trace]   Generating perimeters for layer 309 - Done
[2025-05-17 19:10:37.165787] [0x00001da0] [trace]   Generating perimeters for layer 310
[2025-05-17 19:10:37.165787] [0x00001da0] [trace]   Generating perimeters for layer 310, region 0
[2025-05-17 19:10:37.170774] [0x00001e60] [trace]   Generating perimeters for layer 0 - Done
[2025-05-17 19:10:37.170774] [0x00001e60] [trace]   Generating perimeters for layer 1
[2025-05-17 19:10:37.170774] [0x00001e60] [trace]   Generating perimeters for layer 1, region 0
[2025-05-17 19:10:37.171771] [0x00001d20] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:37.171771] [0x00001d20] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:37.171771] [0x00001d20] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:37.175760] [0x00001da0] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:37.175760] [0x00001da0] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
