--- STDOUT ---
[2025-05-18 20:17:23.264451] [0x00001af8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.264451] [0x00001af8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.280074] [0x000014b8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-18 20:17:23.280074] [0x000014b8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.280074] [0x000014b8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.280074] [0x00001b3c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-18 20:17:23.280074] [0x00001b3c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.280074] [0x00001b3c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.280074] [0x00001af8] [trace]   Generating perimeters for layer 103 - Done
[2025-05-18 20:17:23.280074] [0x00001af8] [trace]   Generating perimeters for layer 104
[2025-05-18 20:17:23.280074] [0x00001af8] [trace]   Generating perimeters for layer 104, region 0
[2025-05-18 20:17:23.280074] [0x00001a20] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-18 20:17:23.280074] [0x00001a20] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.280074] [0x00001a20] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.297602] [0x00001af8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-18 20:17:23.297602] [0x00001af8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.297602] [0x00001af8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.297602] [0x000014b8] [trace]   Generating perimeters for layer 206 - Done
[2025-05-18 20:17:23.297602] [0x000014b8] [trace]   Generating perimeters for layer 207
[2025-05-18 20:17:23.297602] [0x000014b8] [trace]   Generating perimeters for layer 207, region 0
[2025-05-18 20:17:23.297602] [0x00001b3c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-18 20:17:23.297602] [0x00001b3c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.297602] [0x00001b3c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.309604] [0x00001b3c] [trace]   Generating perimeters for layer 0 - Done
[2025-05-18 20:17:23.309604] [0x00001b3c] [trace]   Generating perimeters for layer 1
[2025-05-18 20:17:23.309604] [0x00001b3c] [trace]   Generating perimeters for layer 1, region 0
[2025-05-18 20:17:23.309604] [0x000014b8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-18 20:17:23.309604] [0x000014b8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.309604] [0x000014b8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.309604] [0x00001a20] [trace]   Generating perimeters for layer 309 - Done
[2025-05-18 20:17:23.309604] [0x00001a20] [trace]   Generating perimeters for layer 310
[2025-05-18 20:17:23.309604] [0x00001a20] [trace]   Generating perimeters for layer 310, region 0
[2025-05-18 20:17:23.309604] [0x00001b3c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-18 20:17:23.309604] [0x00001b3c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.309604] [0x00001b3c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.325230] [0x00001a20] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-18 20:17:23.325230] [0x00001a20] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.325230] [0x00001a20] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.327735] [0x00001af8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-18 20:17:23.327735] [0x00001af8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.327735] [0x00001af8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.327735] [0x000014b8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-18 20:17:23.327735] [0x000014b8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.327735] [0x000014b8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.353364] [0x00001af8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-18 20:17:23.353364] [0x00001af8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.353364] [0x00001af8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.353364] [0x00001b3c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-18 20:17:23.353364] [0x00001b3c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.353364] [0x00001b3c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.353364] [0x00001a20] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-18 20:17:23.353364] [0x00001a20] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.353364] [0x00001a20] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.372497] [0x000014b8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-18 20:17:23.372497] [0x000014b8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.372497] [0x000014b8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.388122] [0x00001af8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-18 20:17:23.388122] [0x00001af8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.388122] [0x00001af8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.389631] [0x00001b3c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-18 20:17:23.389631] [0x00001b3c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.389631] [0x00001b3c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.389631] [0x00001a20] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-18 20:17:23.389631] [0x00001a20] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.389631] [0x00001a20] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.389631] [0x000014b8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-18 20:17:23.389631] [0x000014b8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.389631] [0x000014b8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-18 20:17:23.405256] [0x00001af8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-18 20:17:23.405256] [0x00001af8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-18 20:17:23.405256] [0x00001af8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
