--- STDOUT ---
[2025-05-17 19:10:19.013176] [0x00000bd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.014173] [0x00000bd8] [trace]   Generating perimeters for layer 96 - Done
[2025-05-17 19:10:19.014173] [0x00000bd8] [trace]   Generating perimeters for layer 97
[2025-05-17 19:10:19.014173] [0x00000bd8] [trace]   Generating perimeters for layer 97, region 0
[2025-05-17 19:10:19.014173] [0x00001ee8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.014173] [0x00000bd8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.014173] [0x000015e8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.014173] [0x00000bd8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.014173] [0x00001ee8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.014173] [0x000015e8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:10:19.014173] [0x00000bd8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.014173] [0x00001ee8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.014173] [0x000015e8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:10:19.014173] [0x00000bd8] [trace]   Generating perimeters for layer 97 - Done
[2025-05-17 19:10:19.014173] [0x00000bd8] [trace]   Generating perimeters for layer 98
[2025-05-17 19:10:19.014173] [0x00000bd8] [trace]   Generating perimeters for layer 98, region 0
[2025-05-17 19:10:19.014173] [0x000015e8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:10:19.014173] [0x000015e8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
