--- STDOUT ---
[2025-05-22 13:25:38.251181] [0x00002104] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.251181] [0x00002104] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.251181] [0x00002104] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.251181] [0x00000304] [trace]   Generating perimeters for layer 91 - Done
[2025-05-22 13:25:38.251181] [0x00000304] [trace]   Generating perimeters for layer 92
[2025-05-22 13:25:38.251181] [0x00000304] [trace]   Generating perimeters for layer 92, region 0
[2025-05-22 13:25:38.251181] [0x000024ac] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-22 13:25:38.251181] [0x000024ac] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.251181] [0x000024ac] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.251181] [0x00002104] [trace]   Generating perimeters for layer 136 - Done
[2025-05-22 13:25:38.251181] [0x00002104] [trace]   Generating perimeters for layer 137
[2025-05-22 13:25:38.252178] [0x00002104] [trace]   Generating perimeters for layer 137, region 0
[2025-05-22 13:25:38.252178] [0x00000304] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.252178] [0x00000304] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.252178] [0x00000304] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.252178] [0x00002104] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.252178] [0x00002104] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.252178] [0x00002104] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.252178] [0x00002104] [trace]   Generating perimeters for layer 137 - Done
[2025-05-22 13:25:38.252178] [0x00002104] [trace]   Generating perimeters for layer 138
[2025-05-22 13:25:38.252178] [0x00002104] [trace]   Generating perimeters for layer 138, region 0
[2025-05-22 13:25:38.252178] [0x000024ac] [trace]   Generating perimeters for layer 0 - Done
[2025-05-22 13:25:38.252178] [0x000024ac] [trace]   Generating perimeters for layer 1
[2025-05-22 13:25:38.252178] [0x000024ac] [trace]   Generating perimeters for layer 1, region 0
[2025-05-22 13:25:38.252178] [0x00000304] [trace]   Generating perimeters for layer 92 - Done
[2025-05-22 13:25:38.252178] [0x00000304] [trace]   Generating perimeters for layer 93
[2025-05-22 13:25:38.252178] [0x00000304] [trace]   Generating perimeters for layer 93, region 0
[2025-05-22 13:25:38.252178] [0x00002104] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.252178] [0x00002104] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.252178] [0x00002104] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.253175] [0x00002104] [trace]   Generating perimeters for layer 138 - Done
