--- STDOUT ---
[2025-05-20 16:02:54.615413] [0x00002068] [trace]   Generating perimeters for layer 61, region 0
[2025-05-20 16:02:54.630612] [0x00001f5c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.630612] [0x00001f5c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.630612] [0x00001f5c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.643394] [0x00002068] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.644393] [0x00002068] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.644393] [0x00002068] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.661400] [0x000013dc] [trace]   Generating perimeters for layer 89 - Done
[2025-05-20 16:02:54.661400] [0x000013dc] [trace]   Generating perimeters for layer 90
[2025-05-20 16:02:54.661400] [0x000013dc] [trace]   Generating perimeters for layer 90, region 0
[2025-05-20 16:02:54.671388] [0x000013dc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.671388] [0x000013dc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.671388] [0x000013dc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.671388] [0x000006e0] [trace]   Generating perimeters for layer 74 - Done
[2025-05-20 16:02:54.671388] [0x000006e0] [trace]   Generating perimeters for layer 75
[2025-05-20 16:02:54.671388] [0x000006e0] [trace]   Generating perimeters for layer 75, region 0
[2025-05-20 16:02:54.686917] [0x000006e0] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.686917] [0x000006e0] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.686917] [0x000006e0] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.699922] [0x00001f5c] [trace]   Generating perimeters for layer 4 - Done
[2025-05-20 16:02:54.699922] [0x00001f5c] [trace]   Generating perimeters for layer 5
[2025-05-20 16:02:54.699922] [0x00001f5c] [trace]   Generating perimeters for layer 5, region 0
