--- STDOUT ---
[2025-05-17 19:00:59.101505] [0x0000071c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.107488] [0x00000e44] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:59.107488] [0x00000e44] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:59.107488] [0x00000e44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.112475] [0x000024ac] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:59.112475] [0x000024ac] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:59.112475] [0x000024ac] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.132421] [0x00000e44] [trace]   Generating perimeters for layer 103 - Done
[2025-05-17 19:00:59.132421] [0x00000e44] [trace]   Generating perimeters for layer 104
[2025-05-17 19:00:59.132421] [0x00000e44] [trace]   Generating perimeters for layer 104, region 0
[2025-05-17 19:00:59.133418] [0x0000020c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:59.133418] [0x0000020c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:59.133418] [0x0000020c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.143391] [0x0000071c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 533429, inner-wall width = 533429.
[2025-05-17 19:00:59.143391] [0x0000071c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:59.143391] [0x0000071c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.144389] [0x00000e44] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:59.144389] [0x00000e44] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:59.144389] [0x00000e44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.150390] [0x000024ac] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:59.150390] [0x000024ac] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:59.150390] [0x000024ac] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.167345] [0x0000020c] [trace]   Generating perimeters for layer 206 - Done
